Q9VXA5	EBI-87512
O16797-1	EBI-87512
EBI-87512	Q9VDJ8
EBI-87512	Q9VL69
Q9W436	EBI-87512
EBI-87512	Q9VB62
EBI-87512	P22807
EBI-87512	Q9VT69
Q8MLY8	EBI-87512
EBI-87512	Q9VH62
Q9XTN4	EBI-87512
Q8MRL3	EBI-87512
P23654	EBI-87512
Q03043	Q9VYX5
Q867Z4	Q03043
Q03043	Q9W3D6
Q24564	Q03043
Q03043	P05812
Q06559	Q03043
O18640	Q03043
Q03043	Q9VX24
Q9VXH7	Q03043
Q9VIW0	Q9VIW0
Q7JZN0	Q9VIW0
Q9VIU7	Q9VIW0
Q05825	Q9VIW0
P29503-3	Q9VIW0
Q9W135	Q9VIW0
P27398	Q9VIW0
Q9VIW0	Q9VVW9
P38979	Q9VIW0
Q9VIW0	Q9VJB0
Q9VIW0	P08182
Q8IQI1	Q9VIW0
P48149	Q9VIW0
Q9W3L4	Q9VIW0
Q9VIW0	Q9VWB0
Q9W0L7	Q9VIW0
Q9VJU8	Q9VIW0
Q8T8R1	Q9VIW0
P23803	Q9VIW0
Q9VIW0	Q9W3Z5
Q9VIW0	O16797-1
Q9VJM1	Q9VIW0
Q9VSP9	Q9VIW0
Q9VIW0	Q8IQB4
Q9VKC5	Q9VIW0
Q7JZW2	Q9VIW0
Q9VIW0	P13097
H1UUE3	Q9VIW0
Q9VJU5	Q9VIW0
Q9VJY6	Q9VIW0
Q9VVX3	Q9VIW0
P56672	Q9VW57
Q9VG91	Q8IQI1
P16241	A1ZBD8
P16241	Q9VZ44
P16241	O97365
Q9VQW6	Q7JQL2
Q9VGA4	Q9VFR1
Q9VI13	Q9VIN1
Q04787	Q9VIN1
Q9VIN1	Q9VZC0
Q9VIN1	Q9VH39
Q9VIN1	Q9VR89
Q7K5K3	Q9VIN1
Q9W4Y8	Q9VIN1
Q9VIN1	Q9VAP2
Q9VIN1	P52487
Q9VIN1	Q9U1L6
O97067	Q9VIN1
EBI-171834	Q9VIN1
Q95RG8	Q9VIN1
Q9VIN1	Q95RG8
EBI-161439	Q9VIN1
A1Z7Q5	Q9VIN1
P16378-2	Q9VIN1
Q9VIN1	Q9VDX9
Q86B91	Q9VIN1
Q9VIN1	Q9VJN4
Q8IQN4	Q9VIN1
A1Z6N5	Q9VIN1
Q9VIN1	A1ZAC8
Q9W3S4	Q9VIN1
Q7K2X1	Q9VIN1
Q9VIN1	Q9VJD3
Q9VC66	Q9VIN1
X2JDY8	Q9VIN1
Q9VIN1	Q9VXK0
P20432	Q7JVV8
P20432	Q9VGJ3
P20432	Q9VD65
P20432	P21750
P20432	Q9VJC1
P20432	Q7K204
P20432	Q9VFU0
P20432	Q9VXE7
Q9W0K9	Q9U6P7
Q9VHX4	A1ZBK1
Q9VSX2	A1ZBK1
Q9VBL8	Q9VI83
Q9VR24	Q9VI83
Q9W4I4	Q9VI83
Q9VVK7	Q9VI83
Q9VI74	Q5BI51
Q9VWQ2	Q9VI83
Q9VKV4	Q9I7L4
Q9I7L4	Q9VKV4
Q9I7L4	Q9VJF5
Q7K237	Q9I7L4
P20353	Q9VM98
P20353	Q9VVL6
Q7JN06	Q9VI72
Q9VI72	P40417
Q9VI72	O76928
O46036	Q9VI72
Q9VWJ4	Q9VI72
P53501	Q9VNV0
Q9W3V9	P53501
P53501	P49905
Q0E8R1	P53501
P53501	A1Z7J1
P53501	Q9I7J0
P53501	P48601
P53501	Q9VLU5
P53501	Q9VVQ1
Q9VI65	Q8IH18
Q9VI65	Q7K0L7
Q9W2I6	Q04499
Q7JNE1	P18491
Q9W4I4	P18491
P10084	P18491
P11420	P18491
P18491	EBI-96930
Q24154	Q9VRV5
Q24154	Q9W2M5
Q24154	Q9VGJ3
Q24154	Q7K4X4
Q24154	P18106-1
EBI-113209	A1ZBK4
Q9VM89	Q9VRZ7
Q9VVC5	Q9VRZ7
Q9VD99	Q9VRZ7
Q95TL8	Q9VRZ7
Q9VRF5	Q9U1K1
Q7K159	Q9U1K1
Q7JQ36	Q9U1K1
EBI-190767	Q9U1K1
Q9VBN2	Q9U1K1
Q9U1K1	P92208
P08736	Q9U1K1
Q9VHS2	Q9U1K1
Q9VFP2	Q9U1K1
Q8MZI3	Q9V3R6
Q967S0	Q8IQ02
Q967S0	Q9VL28
P04412-2	A1Z6E0
P04412-2	Q8IQB8
Q9VBY7	P04412-2
Q9W2F2	Q9VKF8
Q9VS84	Q4V5E4
Q00168	Q9VU84
Q9VIV2	Q7KNF2
Q8SYU5	Q9VRI3
Q8SYU5	Q9VVL6
Q8SYU5	P52485
Q8SYU5	Q9VJ95
Q8SYU5	Q9VFG8
Q7KHK4	Q8SYU5
Q9W0E4	Q9W1T0
Q9VGA0	Q9VTU4
Q8SXK2	P49905
Q9VI64	Q94524
