ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:Q8R4T5	uniprotkb:P97836	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q8R4T5	uniprotkb:Q62915	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q8R4T5	uniprotkb:O35431	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:P48731	uniprotkb:Q38874	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.84
uniprotkb:Q9FWS9	uniprotkb:Q38874	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q9LZM8	uniprotkb:Q38874	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q38874	uniprotkb:P48731	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.84
uniprotkb:Q9FWS9	uniprotkb:Q38874	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.68
uniprotkb:Q38874	uniprotkb:Q9LZM8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.82
uniprotkb:Q9WVJ4	uniprotkb:O55207-3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.69
uniprotkb:O55207-3	uniprotkb:Q9WVJ4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.69
uniprotkb:Q5BJU7	uniprotkb:P60711	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:Q5BJU7	uniprotkb:P08753	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:Q5BJU7	uniprotkb:P54311	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:Q5BJU7	uniprotkb:P54311	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:Q5BJU7	uniprotkb:P60711	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:Q5BJU7	uniprotkb:P08753	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.52
uniprotkb:Q5BJU7	uniprotkb:O15144	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P97836	uniprotkb:O88382	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.59
uniprotkb:P31016	uniprotkb:P97836	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.84
uniprotkb:Q63622	uniprotkb:P97836	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:O88382	uniprotkb:Q00961	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.55
uniprotkb:Q62765	uniprotkb:O88382	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O88382	uniprotkb:Q00959	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.44
uniprotkb:P35439	uniprotkb:O88382	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P35439	uniprotkb:Q62936	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q00960	uniprotkb:P35439	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.83
uniprotkb:O35867	uniprotkb:P67999	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:O35867	uniprotkb:P67999	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:O35867	uniprotkb:P67999	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:P31016	uniprotkb:O60333-3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O88382	uniprotkb:O60333-3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q63622	uniprotkb:O60333-3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	++ for HIS3 activity, +++ for Beta-galactosidase activity|intact-miscore
uniprotkb:Q63622	uniprotkb:O60333-3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	+++|intact-miscore
uniprotkb:Q63622	uniprotkb:O60333-3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	+|intact-miscore
uniprotkb:O88658	uniprotkb:P31016	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:O88658	uniprotkb:O88382	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:O88658	uniprotkb:Q62696	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:O88658	uniprotkb:P31016	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:O88658	uniprotkb:O88382	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q9QUL6	uniprotkb:P60517	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q62645	uniprotkb:Q62108	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q62644	uniprotkb:Q62108	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P19491	uniprotkb:P97879	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.95
uniprotkb:P23385	uniprotkb:Q9Z214	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9Z214	uniprotkb:P31424	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P97879	uniprotkb:P19492	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:P35439-4	uniprotkb:Q62108	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P63039	uniprotkb:Q63690	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q63690	uniprotkb:P63039	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q7TSE9	uniprotkb:Q08201	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q08201	uniprotkb:Q7TSE9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:O70127	uniprotkb:Q7TSE9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.60
uniprotkb:Q7TSE9	uniprotkb:Q6PSM0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:O70127	uniprotkb:Q7TSE9	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.60
uniprotkb:Q7TSE9	uniprotkb:O70127	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.60
uniprotkb:Q6PSM0	uniprotkb:Q7TSE9	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:O70420	uniprotkb:Q7TSE9	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q39009	uniprotkb:Q7Y1C5	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.65
uniprotkb:P94102	uniprotkb:Q7Y1C5	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.74
uniprotkb:P94102	uniprotkb:Q7Y1C4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.65
uniprotkb:Q7Y1C4	uniprotkb:Q39009	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.68
uniprotkb:Q39009	uniprotkb:P94102	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.59
uniprotkb:Q39009	uniprotkb:P94102	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.59
uniprotkb:Q9XIR8	uniprotkb:Q7Y1C5	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.53
uniprotkb:Q7Y1C4	uniprotkb:Q9XIR8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.53
uniprotkb:Q7Y1C4	uniprotkb:Q9FL96	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.53
uniprotkb:P94102	uniprotkb:Q9XIR8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.44
uniprotkb:P94102	uniprotkb:Q7Y1C4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0407""(direct interaction)"	0.65
uniprotkb:Q39009	uniprotkb:Q9XIR8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q39009	uniprotkb:Q7Y1C4	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.68
uniprotkb:Q39009	uniprotkb:Q7Y1C5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q7Y1C5	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.74
uniprotkb:Q9XIR8	uniprotkb:Q7Y1C5	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.53
uniprotkb:Q7Y1C4	uniprotkb:Q9XIR8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.53
uniprotkb:Q7Y1C4	uniprotkb:Q9FL96	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.53
uniprotkb:Q7Y1C4	uniprotkb:P94102	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.65
uniprotkb:Q7Y1C4	uniprotkb:Q39009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q7Y1C4	uniprotkb:Q39009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.68
uniprotkb:Q6MG49	uniprotkb:Q06880	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q6MG49	uniprotkb:Q06880	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P70587	uniprotkb:Q00960	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P11275	uniprotkb:Q9Z1P2	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P70587	uniprotkb:P11275	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P70587	uniprotkb:P11275	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P61980	uniprotkb:Q641X8	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:Q07936	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P15650	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P32551	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P04764	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P15999	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P47819	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P15865	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P20788	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P13471	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.46
uniprotkb:P61980	uniprotkb:Q5BK33	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P11884	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P61515	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P17764	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:Q9ESW0	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P62832	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:Q6AXS5	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:Q9Z0V6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P30904	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P48500	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P61980	uniprotkb:P30835	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q8K430	uniprotkb:Q9JJ40	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q8K430	uniprotkb:Q9JJ40	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q6P7W2	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9JJ40	uniprotkb:Q6P7W2	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9JJ40	uniprotkb:Q6P7W2	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9JJ40	uniprotkb:Q6P7W2	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9JJ40	uniprotkb:Q8K430	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q8K430	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q8K430	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q8K430	uniprotkb:Q9JJ40	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q8K430	uniprotkb:Q9JJ40	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q8K430	uniprotkb:Q9JJ40	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q9QUH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q9QUH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q9QUH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:Q9QUH6	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:P31016	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.46
uniprotkb:Q9JJ40	uniprotkb:Q9QUH6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:P35439	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.46
uniprotkb:Q9JJ40	uniprotkb:Q8K430	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9QUH6	uniprotkb:P35439	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P31016	uniprotkb:P35439	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.71
uniprotkb:Q8K430	uniprotkb:P31016	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q8K430	uniprotkb:Q9QUH6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q8K430	uniprotkb:Q9QUH6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P31016	uniprotkb:Q9QUH6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q8K430	uniprotkb:P31016	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q9JJ40	uniprotkb:P35439	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.46
uniprotkb:P31016	uniprotkb:Q9QUH6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P31016	uniprotkb:Q9QUH6	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q9JJ40	uniprotkb:Q9QUH6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9JJ40	uniprotkb:P97836	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9JJ40	uniprotkb:Q8K430	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9WTV5	uniprotkb:P52947	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P19491	uniprotkb:Q9QUL6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P19491	uniprotkb:Q9QUL6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P19492	uniprotkb:Q9QUL6	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9QUL6	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9QUL6	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P19491	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.92
uniprotkb:Q9EP80	uniprotkb:P19492	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q9EP80	uniprotkb:P19491	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.92
uniprotkb:Q9EP80	uniprotkb:P19491	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.92
uniprotkb:Q9EP80	uniprotkb:P19492	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.75
uniprotkb:Q9EP80	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.82
uniprotkb:Q9EP80	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.92
uniprotkb:P19493-3	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P19492	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:P97879	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.95
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9WTW1-3	uniprotkb:Q9WTW1-3	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q9WTW1-3	uniprotkb:P97879	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.54
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9WTW1-3	uniprotkb:P19492	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q9WTW1-3	uniprotkb:Q9WTW1	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9WTW1-3	uniprotkb:P97879	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.54
uniprotkb:Q9WTW1-3	uniprotkb:P19491	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:P05696	uniprotkb:Q62936	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P05696	uniprotkb:P31016	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q3MKQ2	uniprotkb:P07174	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.59
uniprotkb:Q3MKQ2	uniprotkb:P07174	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.59
uniprotkb:Q3MKQ2	uniprotkb:P07174	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.59
uniprotkb:Q9FGX2	uniprotkb:Q9FUD3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	high|author score
uniprotkb:O22763	uniprotkb:Q9FGX2	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	high|author score
uniprotkb:Q9M1G6	uniprotkb:Q9FGX2	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	high|author score
