ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:Q9Z1Y0	uniprotkb:Q91XS8	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P19491	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.92
uniprotkb:P19492	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q9EP80	uniprotkb:P19492	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.75
uniprotkb:Q63009	uniprotkb:Q9JIL3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q63009	uniprotkb:O70467	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9Z1P3	uniprotkb:O88498	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O88498	uniprotkb:Q9Z1P3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P49950	uniprotkb:O88498	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O88498	uniprotkb:P53563	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O88498	uniprotkb:O88996	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O88498	uniprotkb:Q925A9	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q63009	uniprotkb:Q63009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:P27049	uniprotkb:Q63009	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:O70467	uniprotkb:O70467	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P27049	uniprotkb:Q9EP80	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.58
uniprotkb:Q05941	uniprotkb:P05067-PRO_0000000092	"psi-mi:""MI:0006""(anti bait coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.69
uniprotkb:O88529	uniprotkb:O08785	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P61169	uniprotkb:O35274	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:P97837	uniprotkb:Q9WV48	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P97837	uniprotkb:P97836	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:P08592	uniprotkb:O35827	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:P08592	uniprotkb:P46933	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.40
uniprotkb:Q9JLI4	uniprotkb:P10827	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9JLI4	uniprotkb:Q9JLI4	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q94BT6	uniprotkb:P14713	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q94BT6	uniprotkb:Q43125	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q62910	uniprotkb:Q8CBW3	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q62910	uniprotkb:Q99962	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.57
uniprotkb:Q62910	uniprotkb:Q99961	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
